Displacement,Force,,Press,2000,Release,1700
0,7.71
100,14.87
200,21.77
300,28.25
400,34.26
500,39.91
600,45
700,48.98
800,52.06
900,54.38
1000,56.21
1100,57.58
1200,58.25
1300,58.57
1400,58.51
1500,58.3
1600,57.79
1700,57.02
1800,56
1900,54.92
2000,53.79
2100,52.66
2200,51.57
2300,50.45
2400,49.27
2500,48.15
2600,47.03
2700,46.01
2800,45.14
2900,44.36
3000,43.76
3100,43.38
3200,43.11
3300,43.05
3400,43.13
3500,43.37
3600,43.87
3700,44.71
3800,45.68
3900,46.84
4000,48.38
4100,56.3
4200,82.4
4100,60.6
4000,47.58
3900,44.98
3800,43.18
3700,41.89
3600,40.72
3500,39.77
3400,39.36
3300,39.18
3200,39.17
3100,39.16
3000,39.67
2900,40.02
2800,40.68
2700,41.42
2600,42.37
2500,43.45
2400,44.68
2300,45.59
2200,46.53
2100,47.77
2000,48.78
1900,49.79
1800,51.07
1700,51.78
1600,52.82
1500,53.35
1400,53.68
1300,53.43
1200,52.37
1100,52.05
1000,50.48
900,48.95
800,46.62
700,43.74
600,39.83
500,34.79
400,29.29
300,23.34
200,17.13
100,10.54
0,3.77
